"","UTLA20CD","year","gdp_deflation_multiplier","population","total_welfare","quarter","deflated_per_person_benefits","time"
"2","E06000001",2009,1.21670783194831,91530,38345138.12,1,509.721729135189,1
"3","E06000001",2009,1.21670783194831,91530,39677857.32,2,527.437558791344,2
"4","E06000001",2009,1.21670783194831,91530,37629016.38,4,500.202326429121,4
"5","E06000001",2010,1.19757610596153,91773,41337414.24,1,539.425534482452,5
"6","E06000001",2010,1.19757610596153,91773,40949752.24,3,534.366805353086,7
"7","E06000001",2010,1.19757610596153,91773,40554307.08,2,529.206511205198,6
"8","E06000001",2010,1.19757610596153,91773,41183779.12,4,537.420699195946,8
"9","E06000001",2010,1.19757610596153,91773,41790540.24,2,545.3385249109,6
"10","E06000001",2011,1.17602784833945,92088,42119335.4,3,537.893225870358,11
"11","E06000001",2011,1.17602784833945,92088,42331328.5866667,1,540.60052640005,9
"12","E06000001",2011,1.17602784833945,92088,42072884.7466667,4,537.300018700113,12
"13","E06000001",2011,1.17602784833945,92088,42232851.72,2,539.342908278066,10
"14","E06000001",2011,1.17602784833945,92088,42960046.8,2,548.62969553868,10
"15","E06000001",2012,1.15846665353738,92261,44285681.44,2,556.069034341912,14
"16","E06000001",2012,1.15846665353738,92261,43330579.8266667,3,544.076389889907,15
"17","E06000001",2012,1.15846665353738,92261,43370033.9466667,4,544.571791873028,16
"18","E06000001",2012,1.15846665353738,92261,43136923.87,2,541.644766906662,14
"19","E06000001",2012,1.15846665353738,92261,43440436.0933333,1,545.455789870565,13
"20","E06000001",2013,1.13525418341167,92662,43809700.08,3,536.737230901884,19
"21","E06000001",2013,1.13525418341167,92662,43875802.64,2,537.54709047511,18
"22","E06000001",2013,1.13525418341167,92662,43901275.0266667,4,537.859166984626,20
"23","E06000001",2013,1.13525418341167,92662,44071346.24,2,539.942804898923,18
"24","E06000001",2013,1.13525418341167,92662,43965760.88,1,538.649219376842,17
"25","E06000001",2014,1.11515043379352,92606,41892808.425,2,504.468214672565,22
"26","E06000001",2014,1.11515043379352,92606,41559918.3433333,3,500.459591916197,23
"27","E06000001",2014,1.11515043379352,92606,41435335.82,4,498.959383992972,24
"28","E06000001",2014,1.11515043379352,92606,41353181.7966667,1,497.970095018628,21
"29","E06000001",2014,1.11515043379352,92606,41612202.9,2,501.089196326792,22
"30","E06000001",2015,1.09997690048509,92498,41271802.04,1,490.800113358055,25
"31","E06000001",2015,1.09997690048509,92498,41377502.65,2,492.05709436702,26
"32","E06000001",2015,1.09997690048509,92498,41227236.4866667,3,490.270144286032,27
"33","E06000001",2015,1.09997690048509,92498,41514871.84,2,493.690674939987,26
"34","E06000001",2015,1.09997690048509,92498,41163702.06,4,489.514599282693,28
"35","E06000001",2016,1.09107175978964,92845,41640961.01,4,489.345431725053,32
"36","E06000001",2016,1.09107175978964,92845,41486707.5533333,3,487.532716011563,31
"37","E06000001",2016,1.09107175978964,92845,41666325.6,1,489.643504726805,29
"38","E06000001",2016,1.09107175978964,92845,41337850.38,2,485.783414939173,30
"39","E06000001",2016,1.09107175978964,92845,41376097.98,2,486.232883152213,30
"40","E06000001",2017,1.06472460897989,93019,40688711.3066667,3,465.735733945605,35
"41","E06000001",2017,1.06472460897989,93019,40461282.6466667,4,463.132514269094,36
"42","E06000001",2017,1.06472460897989,93019,37629564.56,2,430.719782111498,34
"43","E06000001",2017,1.06472460897989,93019,39014549.3466667,1,446.572751778198,33
"44","E06000001",2017,1.06472460897989,93019,40880338.73,2,467.929161453731,34
"45","E06000001",2018,1.04629871828407,93242,33887792.3,3,380.265906447382,39
"46","E06000001",2018,1.04629871828407,93242,32102398.93,1,360.231428479686,37
"47","E06000001",2018,1.04629871828407,93242,32947951.5033333,4,369.719648098747,40
"48","E06000001",2018,1.04629871828407,93242,34942115.12,2,392.096804703786,38
"49","E06000001",2018,1.04629871828407,93242,29850412.04,2,334.961153318283,38
"50","E06000001",2019,1.02253670906786,93663,26546042.3866667,4,289.808172072621,44
"51","E06000001",2019,1.02253670906786,93663,27882689.3,2,304.400599562084,42
"52","E06000001",2019,1.02253670906786,93663,27345903.62,3,298.540408636084,43
"53","E06000001",2019,1.02253670906786,93663,25850712.2,2,282.217120741897,42
"54","E06000001",2019,1.02253670906786,93663,26124196.2,1,285.20279736279,41
"55","E06000001",2020,1,93836,23471227.6533333,3,250.130308765648,47
"56","E06000001",2020,1,93836,23004846.91,2,245.160140138113,46
"57","E06000001",2020,1,93836,22815041.51,1,243.137404727397,45
"58","E06000001",2020,1,93836,23877308.74,2,254.457870540091,46
"59","E06000001",2020,1,93836,23076652.1366667,4,245.92536059366,48
"63","E06000002",2009,NA,NA,61512856.5866667,1,NA,1
"64","E06000002",2009,NA,NA,63860578.16,2,NA,2
"65","E06000002",2009,NA,NA,60469886.96,4,NA,4
"66","E06000002",2010,NA,NA,66884146.12,1,NA,5
"67","E06000002",2010,NA,NA,65502026.8,2,NA,6
"68","E06000002",2010,NA,NA,67701359.44,2,NA,6
"69","E06000002",2010,NA,NA,65793938.68,3,NA,7
"70","E06000002",2010,NA,NA,66396963.2666667,4,NA,8
"71","E06000002",2011,1.17602784833945,138368,68280374.88,2,580.333764699478,10
"72","E06000002",2011,1.17602784833945,138368,68113910.2666667,4,578.918935974317,12
"73","E06000002",2011,1.17602784833945,138368,69463596.84,2,590.390294935709,10
"74","E06000002",2011,1.17602784833945,138368,68578793.76,1,582.870109181947,9
"75","E06000002",2011,1.17602784833945,138368,68296186.9066667,3,580.468155481296,11
"76","E06000002",2012,NA,NA,70802475.28,1,NA,13
"77","E06000002",2012,NA,NA,70043926.52,2,NA,14
"78","E06000002",2012,NA,NA,72016907.48,2,NA,14
"79","E06000002",2012,NA,NA,70391560.6133333,3,NA,15
"80","E06000002",2012,NA,NA,70163114.2,4,NA,16
"81","E06000002",2013,1.13525418341167,138911,71916886.1733333,1,587.742841720362,17
"82","E06000002",2013,1.13525418341167,138911,72082167.16,2,589.093605385959,18
"83","E06000002",2013,1.13525418341167,138911,71911362.73,2,587.697701219243,18
"84","E06000002",2013,1.13525418341167,138911,71695325.44,3,585.932130189984,19
"85","E06000002",2013,1.13525418341167,138911,71626714.84,4,585.371408068076,20
"86","E06000002",2014,1.11515043379352,138991,68592322.5866667,3,550.328857893146,23
"87","E06000002",2014,1.11515043379352,138991,68808206.42,2,552.060933713816,22
"88","E06000002",2014,1.11515043379352,138991,68257905.1066667,1,547.64576475841,21
"89","E06000002",2014,1.11515043379352,138991,68284963.88,4,547.862862288614,24
"90","E06000002",2014,1.11515043379352,138991,69044830.7,2,553.95941396425,22
"91","E06000002",2015,1.09997690048509,139310,68946786.1533333,3,544.396469250965,27
"92","E06000002",2015,1.09997690048509,139310,69616765.5,2,549.686554708832,26
"93","E06000002",2015,1.09997690048509,139310,69203987.37,2,546.427302623372,26
"94","E06000002",2015,1.09997690048509,139310,69437834.67,1,548.273735960826,25
"95","E06000002",2015,1.09997690048509,139310,69044815.42,4,545.170497884263,28
"96","E06000002",2016,1.09107175978964,140326,70633813.7466667,4,549.196581283792,32
"97","E06000002",2016,1.09107175978964,140326,70799196.14,1,550.482473128015,29
"98","E06000002",2016,1.09107175978964,140326,70043220.2875,2,544.604560953894,30
"99","E06000002",2016,1.09107175978964,140326,70370496.72,3,547.149221766184,31
"100","E06000002",2016,1.09107175978964,140326,70190293.87,2,545.748096952047,30
"101","E06000002",2017,1.06472460897989,140639,68181773.45,1,516.178386337406,33
